k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,100,65.32%,64.1%,63.96%,64.84%,66.54%,65.3%,76.62%,79.51%,77.32%
365,5_Last,100,55.98%,63.98%,62.22%,66.42%,67.23%,71.02%,76.29%,72.69%,72.6%
365,5,150,64.99%,64.99%,63.42%,65.91%,65.49%,68.88%,67.06%,67.54%,71.72%
365,5_Last,150,59.55%,64.99%,59.15%,65.76%,70.37%,67.17%,72.09%,69.14%,68.07%
365,5,200,65.32%,63.0%,61.57%,62.68%,63.58%,65.59%,69.81%,64.78%,68.43%
365,5_Last,200,57.22%,60.1%,59.44%,64.35%,72.04%,64.94%,68.9%,68.86%,66.57%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,6,0,62.5%,66.0%,59.45%,68.83%,53.83%,46.55%,58.33%,50.83%,50.0%
365,6_Last,0,59.29%,49.19%,53.83%,41.29%,42.55%,31.5%,25.83%,23.79%,22.0%
365,6,50,62.5%,62.12%,59.67%,57.95%,48.24%,36.79%,27.5%,42.33%,42.5%
365,6_Last,50,62.62%,50.4%,53.1%,42.83%,48.21%,29.21%,17.5%,26.83%,21.67%
365,6,100,65.55%,53.12%,60.26%,55.62%,47.74%,54.88%,45.5%,42.33%,35.0%
365,6_Last,100,49.67%,51.12%,52.71%,45.5%,45.55%,29.33%,19.88%,23.5%,21.0%
365,6,150,61.83%,54.12%,55.92%,44.67%,46.0%,35.38%,35.38%,36.21%,30.38%
365,6_Last,150,49.29%,51.79%,52.68%,43.5%,48.38%,28.57%,19.57%,20.29%,20.29%
365,6,200,59.55%,53.12%,53.54%,45.38%,44.12%,45.0%,38.33%,33.33%,28.33%
365,6_Last,200,48.62%,51.12%,52.68%,44.33%,47.38%,29.79%,21.79%,26.67%,20.0%
